id;owner;name;type;brand;transmission;seats;rate;description;location
1;1;GLA;Convertible;Mercedes Benz;Manual;2;250;Optional;Teglholmens Gade
2;1;M;Sedan;Mercedes Benz;Manual;4;250;Optional;Slusehomens
3;1;RR;Sedan;Mercedes Benz;Manual;4;250;Optional;Javagade
4;1;AMG;Sedan;Mercedes Benz;Manual;4;250;Damage left;Javagade
5;1;C;Sedan;Mercedes Benz;Manual;4;400;Optional;Slusehomens
6;1;S;Luxus;Mercedes Benz;Automatic;4;1000;Damage top;Slusehomens
7;1;G;Luxus;Mercedes Benz;Automatic;4;750;Optional;Slusehomens
8;1;X5;Luxus;BMW;Manual;4;800;Optional;Slusehomens
9;1;X6;Luxus;BMW;Manual;4;1000;Optional;Slusehomens
10;1;i8;Electric;BMW;Manual;4;200;Left door;Slusehomens
11;1;i5;Electric;BMW;Manual;4;200;Optional;Slusehomens
12;1;i3;Electric;BMW;Manual;4;200;Super fast;N¿rrebrogade
13;1;2;Country;BMW;Manual;2;250;Optional;N¿rrebrogade
14;1;3;Sports;BMW;Manual;2;250;Optional;Javagade
15;1;5;Sports;BMW;Manual;6;250;Optional;Javagade
16;1;4;Sports;BMW;Manual;8;500;contac owner;Javagade
17;1;A1;Sports;Audi;Manual;4;300;Optional;Javagade
18;1;A2;Sports;Audi;Manual;4;300;Optional;Javagade
19;1;A3;Sports;Audi;Automatic;4;300;Optional;Javagade
20;1;Q1;Convertible;Audi;Automatic;4;300;check oil;Javagade
21;1;Q3;Convertible;Audi;Automatic;4;300;Optional;Javagade
22;1;Q5;Convertible;Audi;Automatic;2;700;Optional;Islandsbrygge
23;2;Boxster;Luxus;Porsche;Automatic;4;900;Optional;Islandsbrygge
24;2;911;Luxus;Porsche;Manual;4;1200;Optional;Islandsbrygge
25;2;Carrera;Luxus;Porsche;Manual;2;1200;Optional;Islandsbrygge
26;2;Panamera;Luxus;Porsche;Manual;2;1200;check oil;Islandsbrygge
27;2;Cayenne;Luxus;Porsche;Manual;2;1500;Optional;Teglholmens Gade
28;2;Macan;Luxus;Porsche;Manual;2;2000;Optional;Teglholmens Gade
29;2;Model X;Electric;Tesla;Automatic;2;300;Optional;Teglholmens Gade
30;2;Model S;Electric;Tesla;Automatic;2;500;Optional;Teglholmens Gade
31;2;Model 3;Electric;Tesla;Automatic;4;600;empty;Teglholmens Gade
32;2;Model E;Electric;Tesla;Automatic;6;250;Optional;Teglholmens Gade
33;2;Model F;Electric;Tesla;Automatic;2;350;Optional;Teglholmens Gade
34;2;108;Sedan;Peugeot;Automatic;4;150;Optional;Teglholmens Gade
35;2;208;Sedan;Peugeot;Automatic;4;150;Optional;Teglholmens Gade
36;2;2008;SUV;Peugeot;Automatic;4;150;check oil;Islandsbrygge
37;2;NY 308;Sedan;Peugeot;Automatic;5;125;check oil;Islandsbrygge
38;2;3008;SUV;Peugeot;Manual;5;190;check oil;Islandsbrygge
39;2;508;Sedan;Peugeot;Manual;5;250;check oil;Islandsbrygge
40;2;Fusion;Sedan;Ford;Manual;5;200;check oil;Islandsbrygge
41;2;Espace;Sedan;Ford;Manual;5;190;check oil;Islandsbrygge
42;2;Focus;Sedan;Ford;Manual;5;250;Optional;Ostkaj
43;2;Fiesta;Coupe;Ford;Automatic;2;260;Sports;Ostkaj
44;2;Mustang;Coupe;Ford;Automatic;2;280;Optional;Ostkaj
45;2;Taurus;Coupe;Ford;Automatic;2;180;Optional;Ostkaj
